c1,c2,r1,r2,w1,max_P,inertia,reliability,utility
-1.019608556446558,-1.1881940450404826,1.459829591135095,1.4582735489493703,0.17578516114506915,0.04,1.0,0.04,0.72
0.31715825635889994,0.20386359265149023,0.6005753849609707,1.2932396649917668,0.8977465243849809,0.78,1.0,0.78,0.08
0.7465114495726142,-0.07687245393478781,1.0187641407326395,0.8240552502831913,0.7505993281542859,0.08,1.0,0.08,0.68
1.9401264436151113,-0.5631502533581454,1.2091570632544788,1.4766760634188494,0.7597018350141328,0.12,1.0,0.12,0.72
0.7208815279194425,0.30742928861189556,1.0187641407326395,0.5782953257960947,0.7505993281542859,0.52,1.0,0.52,0.46
-1.4331626566088145,-0.8557332698339439,1.0298614660530268,1.9785844275138265,0.7537833970882951,0.18,1.0,0.18,0.72
0.6861748338439002,-0.03695004421464332,0.21944063678677972,1.2860547108381926,0.9908820919520143,0.32,1.0,0.32,0.62
0.576147495849835,-1.3529984004453703,0.5090644305334164,1.3818272728079002,0.9881581423286037,0.38,1.0,0.38,0.6
0.6397894647547027,0.30742928861189556,1.0187641407326395,0.5782953257960947,0.7505993281542859,0.64,1.0,0.64,0.34
0.7108335351208872,0.6128004317535358,1.1382451449214124,1.0848445663268935,0.7045124610615249,0.58,1.0,0.58,0.4
0.7465114495726142,-0.07687245393478781,1.0187641407326395,0.8240552502831913,0.7505993281542859,0.26,1.0,0.26,0.7
0.4390956132746382,0.20386359265149023,0.5854740989294376,1.3464537743484741,0.6121336993308639,0.66,1.0,0.66,0.28
0.5187650750215109,-1.3529984004453703,0.5346354086994547,1.48325242143426,0.9881581423286037,0.42,1.0,0.42,0.56
0.5415102848338422,-0.521123874359172,0.3492627291340378,1.5770480646727862,0.7381503573082309,0.22,1.0,0.22,0.7
0.5415102848338422,-0.031463541598937994,0.3492627291340378,1.5185931532857713,0.7381503573082309,0.46,1.0,0.46,0.54
0.31715825635889994,0.20386359265149023,0.7074933823184852,1.1312104896454371,0.8977465243849809,0.72,1.0,0.72,0.06
